codigo_municipio;nome_municipio;uf;estado;latitude;longitude
350360;Areiópolis;SP;Sao Paulo;-22,6672;-48,6681
350370;Ariranha;SP;Sao Paulo;-21,1872;-48,7904
350380;Artur Nogueira;SP;Sao Paulo;-22,5727;-47,1727
350390;Arujá;SP;Sao Paulo;-23,3965;-46,32
350395;Aspásia;SP;Sao Paulo;-20,16;-50,728
350400;Assis;SP;Sao Paulo;-22,66;-50,4183
350410;Atibaia;SP;Sao Paulo;-23,1171;-46,5563
350420;Auriflama;SP;Sao Paulo;-20,6836;-50,5572
350430;Avaí;SP;Sao Paulo;-22,1514;-49,3356
350440;Avanhandava;SP;Sao Paulo;-21,4584;-49,9509
350450;Avaré;SP;Sao Paulo;-23,1067;-48,9251
350460;Bady Bassitt;SP;Sao Paulo;-20,9197;-49,4385
350470;Balbinos;SP;Sao Paulo;-21,8963;-49,3619
350480;Bálsamo;SP;Sao Paulo;-20,7348;-49,5865
350490;Bananal;SP;Sao Paulo;-22,6819;-44,3281
350500;Barão de Antonina;SP;Sao Paulo;-23,6284;-49,5634
350510;Barbosa;SP;Sao Paulo;-21,2657;-49,9518
350520;Bariri;SP;Sao Paulo;-22,073;-48,7438
350530;Barra Bonita;SP;Sao Paulo;-22,4909;-48,5583
350535;Barra do Chapéu;SP;Sao Paulo;-24,4722;-49,0238
350540;Barra do Turvo;SP;Sao Paulo;-24,759;-48,5013
350550;Barretos;SP;Sao Paulo;-20,5531;-48,5698
350560;Barrinha;SP;Sao Paulo;-21,1864;-48,1636
350570;Barueri;SP;Sao Paulo;-23,5057;-46,879
350580;Bastos;SP;Sao Paulo;-21,921;-50,7357
350590;Batatais;SP;Sao Paulo;-20,8929;-47,5921
350600;Bauru;SP;Sao Paulo;-22,3246;-49,0871
350610;Bebedouro;SP;Sao Paulo;-20,9491;-48,4791
350620;Bento de Abreu;SP;Sao Paulo;-21,2686;-50,814
350630;Bernardino de Campos;SP;Sao Paulo;-23,0164;-49,4679
350635;Bertioga;SP;Sao Paulo;-23,8486;-46,1396
350640;Bilac;SP;Sao Paulo;-21,404;-50,4746
350650;Birigui;SP;Sao Paulo;-21,291;-50,3432
350660;Biritiba-Mirim;SP;Sao Paulo;-23,5698;-46,0407
350670;Boa Esperança do Sul;SP;Sao Paulo;-21,9918;-48,3906
350680;Bocaina;SP;Sao Paulo;-22,1365;-48,523
350690;Bofete;SP;Sao Paulo;-23,1055;-48,2582
350700;Boituva;SP;Sao Paulo;-23,2855;-47,6786
350710;Bom Jesus dos Perdões;SP;Sao Paulo;-23,1356;-46,4675
350715;Bom Sucesso de Itararé;SP;Sao Paulo;-24,3155;-49,1451
350720;Borá;SP;Sao Paulo;-22,2696;-50,5409
350730;Boracéia;SP;Sao Paulo;-22,1926;-48,7808
350740;Borborema;SP;Sao Paulo;-21,6214;-49,0741
350745;Borebi;SP;Sao Paulo;-22,5728;-48,9707
350750;Botucatu;SP;Sao Paulo;-22,8837;-48,4437
350760;Bragança Paulista;SP;Sao Paulo;-22,9527;-46,5419
350770;Braúna;SP;Sao Paulo;-21,499;-50,3175
350775;Brejo Alegre;SP;Sao Paulo;-21,1651;-50,1861
350780;Brodowski;SP;Sao Paulo;-20,9845;-47,6572
350790;Brotas;SP;Sao Paulo;-22,2795;-48,1251
350800;Buri;SP;Sao Paulo;-23,7977;-48,5958
350810;Buritama;SP;Sao Paulo;-21,0661;-50,1475
350820;Buritizal;SP;Sao Paulo;-20,1911;-47,7096
350830;Cabrália Paulista;SP;Sao Paulo;-22,4576;-49,3393
350840;Cabreúva;SP;Sao Paulo;-23,3053;-47,1362
350850;Caçapava;SP;Sao Paulo;-23,0992;-45,7076
350860;Cachoeira Paulista;SP;Sao Paulo;-22,6665;-45,0154
350870;Caconde;SP;Sao Paulo;-21,528;-46,6437
350880;Cafelândia;SP;Sao Paulo;-21,8031;-49,6092
350890;Caiabu;SP;Sao Paulo;-22,0127;-51,2394
350900;Caieiras;SP;Sao Paulo;-23,3607;-46,7397
350910;Caiuá;SP;Sao Paulo;-21,8322;-51,9969
