id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2091313;Hospital CNES 2091313;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;2544;2508;36;05;;1023;Grande Porte;Baixa/Media Complexidade;98,58
2091356;Hospital CNES 2091356;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;132;132;0;07;;1023;Medio Porte;Baixa/Media Complexidade;100,0
2091399;Hospital CNES 2091399;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;719;696;23;07;;3999;Grande Porte;Baixa/Media Complexidade;96,8
2091542;Hospital CNES 2091542;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;228;228;0;62;;1023;Grande Porte;Baixa/Media Complexidade;100,0
2091550;Hospital CNES 2091550;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;372;372;0;05;;3999;Grande Porte;Baixa/Media Complexidade;100,0
2091577;Hospital CNES 2091577;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;24;0;24;36;;3999;Pequeno Porte;Baixa/Media Complexidade;0,0
2091585;Hospital CNES 2091585;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;1969;1969;0;05;;1023;Grande Porte;Baixa/Media Complexidade;100,0
2091658;Hospital CNES 2091658;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;72;72;0;62;;1031;Medio Porte;Baixa/Media Complexidade;100,0
2091666;Hospital CNES 2091666;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;12;0;12;62;;3999;Micro Porte;Baixa/Media Complexidade;0,0
2091755;Hospital CNES 2091755;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;2028;1920;108;05;;1023;Grande Porte;Baixa/Media Complexidade;94,67
2091763;Hospital CNES 2091763;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;1560;0;1560;07;;2240;Grande Porte;Baixa/Media Complexidade;0,0
2091801;Hospital CNES 2091801;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;1140;0;1140;05;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2092093;Hospital CNES 2092093;355680;Viradouro;SP;Sao Paulo;-20,8734;-48,293;576;360;216;05;;3999;Grande Porte;Baixa/Media Complexidade;62,5
2092107;Hospital CNES 2092107;351640;Franco da Rocha;SP;Sao Paulo;-23,3229;-46,729;18;18;0;05;;1023;Pequeno Porte;Baixa/Media Complexidade;100,0
2092298;Hospital CNES 2092298;352390;Itu;SP;Sao Paulo;-23,2544;-47,2927;1272;1272;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2092395;Hospital CNES 2092395;351930;Ibaté;SP;Sao Paulo;-21,9584;-47,9882;324;324;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2092611;Hospital CNES 2092611;350550;Barretos;SP;Sao Paulo;-20,5531;-48,5698;3168;2622;546;05;;3999;Grande Porte;Baixa/Media Complexidade;82,77
2092638;Hospital CNES 2092638;351540;Fartura;SP;Sao Paulo;-23,3916;-49,5124;240;144;96;05;;3999;Grande Porte;Baixa/Media Complexidade;60,0
2092980;Hospital CNES 2092980;350580;Bastos;SP;Sao Paulo;-21,921;-50,7357;369;244;125;05;;3999;Grande Porte;Baixa/Media Complexidade;66,12
2093022;Hospital CNES 2093022;351480;Eldorado;SP;Sao Paulo;-24,5281;-48,1141;24;24;0;20;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
2093227;Hospital CNES 2093227;352180;Itaí;SP;Sao Paulo;-23,4213;-49,092;426;416;10;05;;3999;Grande Porte;Baixa/Media Complexidade;97,65
