id_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;esfera;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
5888883;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;1;0;1;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
5907594;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;253;0;253;;05;;2046;Grande Porte;Baixa/Media Complexidade;0,0
5922631;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;30;0;30;;07;;3999;Pequeno Porte;Baixa/Media Complexidade;0,0
5932696;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;10;10;0;;20;;1244;Micro Porte;Baixa/Media Complexidade;100,0
5935857;354880;São Caetano do Sul;SP;Sao Paulo;-23,6229;-46,5548;57;57;0;;05;;1244;Medio Porte;Baixa/Media Complexidade;100,0
5969271;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;8;0;8;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6017622;351220;Conchal;SP;Sao Paulo;-22,3375;-47,1729;2;0;2;;20;;2143;Micro Porte;Baixa/Media Complexidade;0,0
6020917;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;123;123;0;;07;;1244;Medio Porte;Baixa/Media Complexidade;100,0
6024688;355280;Taboão da Serra;SP;Sao Paulo;-23,6019;-46,7526;15;15;0;;21;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6048447;350610;Bebedouro;SP;Sao Paulo;-20,9491;-48,4791;1;0;1;;62;;2240;Micro Porte;Baixa/Media Complexidade;0,0
6053858;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;235;235;0;;05;;1120;Grande Porte;Baixa/Media Complexidade;100,0
6054269;350400;Assis;SP;Sao Paulo;-22,66;-50,4183;1;0;1;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6066585;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;5;5;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6095666;350570;Barueri;SP;Sao Paulo;-23,5057;-46,879;302;302;0;;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
6106056;355410;Taubaté;SP;Sao Paulo;-23,0104;-45,5593;49;0;49;;05;;2054;Pequeno Porte;Baixa/Media Complexidade;0,0
6123740;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;525;525;0;;07;;1023;Grande Porte;Baixa/Media Complexidade;100,0
6126642;354340;Ribeirão Preto;SP;Sao Paulo;-21,1699;-47,8099;5;0;5;;05;;2054;Micro Porte;Baixa/Media Complexidade;0,0
6135749;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;4;4;0;;62;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6136028;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;5;5;0;;62;;1031;Micro Porte;Baixa/Media Complexidade;100,0
